Date,Mkt-RF,SMB,HML,RMW,CMA,RF,Mom   
2011-03,0.46,2.62,-1.83,1.76,-0.03,0.01,3.4
2011-04,2.9,-0.55,-2.43,1.01,-0.8,0.0,0.04
2011-05,-1.27,-0.63,-2.12,2.08,-1.59,0.0,-0.62
2011-06,-1.75,0.16,-0.42,2.49,-1.53,0.0,1.78
2011-07,-2.35,-1.2,-0.9,2.68,-1.81,0.0,0.18
2011-08,-5.99,-3.2,-2.36,3.3,-0.38,0.01,-0.28
2011-09,-7.59,-3.66,-1.72,2.04,0.24,0.0,-2.42
2011-10,11.35,3.46,0.1,-2.16,-0.86,0.0,-1.43
2011-11,-0.28,-0.28,-0.46,1.86,1.49,0.0,3.84
2011-12,0.74,-0.33,1.63,0.98,2.52,0.0,1.81
2012-01,5.05,2.06,-0.97,-2.01,-1.43,0.0,-7.91
2012-02,4.42,-1.71,0.43,-0.48,-0.01,0.0,-0.29
2012-03,3.11,-0.47,1.14,-0.54,0.74,0.0,1.3
2012-04,-0.85,-0.55,-0.78,1.3,0.65,0.0,3.75
2012-05,-6.19,-0.12,-1.07,2.08,2.31,0.01,6.49
2012-06,3.89,0.84,0.62,-1.09,0.46,0.0,-1.06
2012-07,0.79,-2.78,-0.02,1.1,0.05,0.0,3.04
2012-08,2.55,0.44,1.3,-1.33,-0.84,0.01,-2.37
2012-09,2.73,0.61,1.6,-1.49,1.55,0.01,-1.14
2012-10,-1.76,-0.89,3.59,-1.34,2.5,0.01,0.14
2012-11,0.78,0.46,-0.84,0.6,0.84,0.01,0.49
2012-12,1.18,1.89,3.51,-1.85,0.91,0.01,-2.86
2013-01,5.57,0.48,0.96,-1.93,1.41,0.0,-1.79
2013-02,1.29,-0.25,0.11,-0.67,0.52,0.0,1.29
2013-03,4.03,0.85,-0.19,0.14,1.38,0.0,1.92
2013-04,1.55,-2.25,0.45,0.27,0.37,0.0,0.22
2013-05,2.8,2.06,2.63,-1.97,-0.87,0.0,-2.02
2013-06,-1.2,1.57,0.03,-0.38,0.0,0.0,0.52
2013-07,5.65,1.81,0.57,-1.35,0.51,0.0,1.76
2013-08,-2.71,-0.06,-2.69,0.66,-2.16,0.0,0.02
2013-09,3.77,2.63,-1.22,-0.58,-1.36,0.0,3.06
2013-10,4.18,-1.48,1.25,2.78,0.87,0.0,0.08
2013-11,3.13,1.41,0.32,0.14,0.04,0.0,0.44
2013-12,2.81,-0.45,-0.02,-0.46,0.09,0.0,0.02
2014-01,-3.32,0.58,-2.07,-3.88,-1.42,0.0,1.71
2014-02,4.65,0.14,-0.31,-0.23,-0.45,0.0,2.07
2014-03,0.43,-1.09,4.93,2.13,1.92,0.0,-3.29
2014-04,-0.19,-4.12,1.17,3.48,1.02,0.0,-3.89
2014-05,2.06,-1.89,-0.13,0.05,-1.0,0.0,0.87
2014-06,2.61,3.11,-0.7,-1.89,-2.0,0.0,0.69
2014-07,-2.04,-4.29,0.03,0.89,0.52,0.0,-0.12
2014-08,4.24,0.31,-0.45,-0.64,-0.7,0.0,0.82
2014-09,-1.97,-3.72,-1.34,1.3,-0.51,0.0,0.5
2014-10,2.52,3.73,-1.81,-0.57,-0.11,0.0,-0.06
2014-11,2.55,-2.28,-3.09,1.5,0.27,0.0,0.69
2014-12,-0.06,2.86,2.27,-1.22,0.96,0.0,1.12
2015-01,-3.11,-0.92,-3.58,1.61,-1.65,0.0,3.84
2015-02,6.13,0.32,-1.86,-1.12,-1.82,0.0,-2.82
2015-03,-1.12,3.07,-0.37,0.09,-0.52,0.0,2.74
2015-04,0.59,-3.09,1.82,0.06,-0.61,0.0,-7.27
2015-05,1.36,0.83,-1.14,-1.79,-0.74,0.0,5.82
2015-06,-1.53,2.9,-0.79,0.44,-1.58,0.0,3.01
2015-07,1.54,-4.55,-4.13,0.3,-2.41,0.0,9.98
2015-08,-6.04,0.25,2.77,0.68,1.19,0.0,-2.09
2015-09,-3.07,-2.79,0.56,1.77,-0.58,0.0,5.22
2015-10,7.75,-2.07,-0.46,0.88,0.52,0.0,-3.28
2015-11,0.56,3.31,-0.42,-2.75,-0.99,0.0,2.28
2015-12,-2.17,-2.99,-2.61,0.5,-0.02,0.01,3.36
2016-01,-5.77,-3.47,2.09,2.82,3.08,0.01,1.44
2016-02,-0.07,0.88,-0.57,3.25,2.02,0.02,-4.38
2016-03,6.96,1.07,1.19,0.77,-0.08,0.02,-5.01
2016-04,0.91,1.23,3.28,-2.97,1.9,0.01,-6.02
